"Aasta","Tegevusala","Kivisüsi, tuhat t","Koks, tuhat t","Põlevkivi, tuhat t","Freesturvas, tuhat t","Tükkturvas, tuhat t","Turbabrikett, tuhat t","Puitkütus (väärindamata)*, tuhat tm","Küttepuud, tuhat tm","Puiduhake ja -jäätmed, tuhat tm","Puiduhake, tuhat tm","Puidujäätmed, tuhat tm","Puidubrikett ja -graanulid, tuhat t","Maagaas, mln m³","Vedelgaas, tuhat t","Raske kütteõli, tuhat t","Põlevkiviõli (raske fraktsioon), tuhat t","Kerge kütteõli ja diislikütus, tuhat t","Diislikütus, tuhat t","Autobensiin, tuhat t","Lennukikütus, tuhat t","Põlevkivigaas, mln m³","Biogaas, mln m³","Muu biomass**, tuhat t","Jäätmekütus, tuhat t","Bituumen, tuhat t","Määrdeained, tuhat t","Elektrienergia, GWh","Soojus, GWh"
"2012","Õhutansport",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,37.1,0.0,0.0,0.0,..,0.0,0.0,1,0
"2012","Laondus, posti- ja kulleriteenistus",0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,62.8,0.3,0.0,0.0,18.7,18.2,2.3,0.3,0.0,0.0,0.0,..,0.0,0.0,227,387
"2012","Majutus ja toitlustus",0.2,0.0,0.0,0.0,0.0,0.0,3.7,3.2,0.5,0.5,0.0,0.0,3.1,0.0,0.0,0.0,1.5,1.3,0.7,0.0,0.0,0.0,0.0,..,0.0,0.0,192,95
"2012","Info ja side",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.6,2.5,0.0,0.0,0.0,0.0,..,0.0,0.0,142,20
"2012","Finants- ja kindlustustegevus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.4,0.0,0.0,0.0,0.0,..,0.0,0.0,15,7
"2012","Kinnisvaraalane tegevus",0.8,0.0,0.0,0.0,1.0,0.0,13.3,7.1,6.2,5.8,0.4,0.2,20.2,0.0,0.0,0.7,1.4,1.3,1.0,0.0,0.0,0.0,0.8,..,0.0,0.0,381,98
"2012","Kutse-, teadus- ja tehnikaalane tegevus",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,4.8,3.8,4.2,0.0,0.0,0.0,0.0,..,0.0,0.0,68,35
"2012","Haldus- ja abitegevused",0.0,0.0,0.0,0.0,0.0,2.5,0.2,0.2,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,7.3,7.2,3.8,0.0,0.0,0.0,0.0,..,0.0,0.0,22,14
"2012","Avalik haldus ja riigikaitse",0.5,0.0,0.0,0.0,0.0,0.0,16.1,9.4,6.7,4.9,1.8,1.5,2.0,0.1,0.0,1.0,10.4,6.4,2.8,0.3,0.0,0.0,0.0,..,0.0,0.0,336,474
"2012","Haridus",0.1,0.0,0.0,0.0,0.0,0.0,4.7,2.2,2.5,2.5,0.0,0.5,4.4,0.0,0.1,0.4,1.7,1.3,0.8,0.0,0.0,0.0,0.0,..,0.0,0.0,112,232
