Aasta,Maakond,Kogus,Liik,Ühik_x,Ühikuhind,Ühik_y,Kogukulu
2012,Tartu maakond,3.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,1453.92
2012,..Tartu linn,1.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,484.64
2012,Valga maakond,2.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,969.28
2012,Viljandi maakond,3.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,1453.92
2012,Võru maakond,4.0,Põlevkiviõli,tuhat tonni,484.64,eurot/t,1938.56
2013,Kogu Eesti,50.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,22939.5
2013,Harju maakond,6.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,2752.74
2013,..Tallinn,2.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,917.58
2013,Hiiu maakond,0.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,0.0
2013,Ida-Viru maakond,21.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,9634.59
2013,Jõgeva maakond,1.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,458.79
2013,Järva maakond,3.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,1376.37
2013,Lääne maakond,2.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,917.58
2013,Lääne-Viru maakond,0.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,0.0
2013,Põlva maakond,1.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,458.79
2013,Pärnu maakond,1.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,458.79
2013,Rapla maakond,3.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,1376.37
2013,Saare maakond,3.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,1376.37
2013,Tartu maakond,2.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,917.58
2013,..Tartu linn,1.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,458.79
2013,Valga maakond,2.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,917.58
2013,Viljandi maakond,2.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,917.58
2013,Võru maakond,3.0,Põlevkiviõli,tuhat tonni,458.79,eurot/t,1376.37
2014,Kogu Eesti,43.0,Põlevkiviõli,tuhat tonni,439.44,eurot/t,18895.92
